Invoice ID,City,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment,gross margin percentage,gross income
750-67-8428,Yangon,Female,Health and beauty,74.69,7,26.1415,548.9715,Ewallet,4.761904762,26.1415
226-31-3081,Naypyitaw,Female,Electronic accessories,15.28,5,3.82,80.22,Cash,4.761904762,3.82
631-41-3108,Yangon,Male,Home and lifestyle,46.33,7,16.2155,340.5255,Credit card,4.761904762,16.2155
123-19-1176,Yangon,Male,Health and beauty,58.22,8,23.288,489.048,Ewallet,4.761904762,23.288
373-73-7910,Yangon,Male,Sports and travel,86.31,7,30.2085,634.3785,Ewallet,4.761904762,30.2085
699-14-3026,Naypyitaw,Male,Electronic accessories,85.39,7,29.8865,627.6165,Ewallet,4.761904762,29.8865
355-53-5943,Yangon,Female,Electronic accessories,68.84,6,20.652,433.692,Ewallet,4.761904762,20.652
315-22-5665,Naypyitaw,Female,Home and lifestyle,73.56,10,36.78,772.38,Ewallet,4.761904762,36.78
665-32-9167,Yangon,Female,Health and beauty,36.26,2,3.626,76.146,Credit card,4.761904762,3.626
692-92-5582,Mandalay,Female,Food and beverages,54.84,3,8.226,172.746,Credit card,4.761904762,8.226
351-62-0822,Mandalay,Female,Fashion accessories,14.48,4,2.896,60.816,Ewallet,4.761904762,2.896
529-56-3974,Mandalay,Male,Electronic accessories,25.51,4,5.102,107.142,Cash,4.761904762,5.102
365-64-0515,Yangon,Female,Electronic accessories,46.95,5,11.7375,246.4875,Ewallet,4.761904762,11.7375
252-56-2699,Yangon,Male,Food and beverages,43.19,10,21.595,453.495,Ewallet,4.761904762,21.595
829-34-3910,Yangon,Female,Health and beauty,71.38,10,35.69,749.49,Cash,4.761904762,35.69
299-46-1805,Mandalay,Female,Sports and travel,93.72,6,28.116,590.436,Cash,4.761904762,28.116
656-95-9349,Yangon,Female,Health and beauty,68.93,7,24.1255,506.6355,Credit card,4.761904762,24.1255
765-26-6951,Yangon,Male,Sports and travel,72.61,6,21.783,457.443,Credit card,4.761904762,21.783
329-62-1586,Yangon,Male,Food and beverages,54.67,3,8.2005,172.2105,Credit card,4.761904762,8.2005
319-50-3348,Mandalay,Female,Home and lifestyle,40.3,2,4.03,84.63,Ewallet,4.761904762,4.03
300-71-4605,Naypyitaw,Male,Electronic accessories,86.04,5,21.51,451.71,Ewallet,4.761904762,21.51
371-85-5789,Mandalay,Male,Health and beauty,87.98,3,13.197,277.137,Ewallet,4.761904762,13.197
273-16-6619,Mandalay,Male,Home and lifestyle,33.2,2,3.32,69.72,Credit card,4.761904762,3.32
636-48-8204,Yangon,Male,Electronic accessories,34.56,5,8.64,181.44,Ewallet,4.761904762,8.64
549-59-1358,Yangon,Male,Sports and travel,88.63,3,13.2945,279.1845,Ewallet,4.761904762,13.2945
227-03-5010,Yangon,Female,Home and lifestyle,52.59,8,21.036,441.756,Credit card,4.761904762,21.036
649-29-6775,Mandalay,Male,Fashion accessories,33.52,1,1.676,35.196,Cash,4.761904762,1.676
189-17-4241,Yangon,Female,Fashion accessories,87.67,2,8.767,184.107,Credit card,4.761904762,8.767
145-94-9061,Mandalay,Female,Food and beverages,88.36,5,22.09,463.89,Cash,4.761904762,22.09
848-62-7243,Yangon,Male,Health and beauty,24.89,9,11.2005,235.2105,Cash,4.761904762,11.2005
